service_id,date,exception_type
18M_S,20180326,1
18M_S,20180327,1
18M_S,20180328,1
18M_S,20180329,1
18M_F1,20180330,1
18M_A,20180331,1
18M_I,20180401,1
18M_F2,20180402,1
18M_S,20180403,1
18M_S,20180404,1
18M_S,20180405,1
18M_SV,20180406,1
18M_S,20180406,1
18M_A,20180407,1
18M_I,20180408,1
18M_S,20180409,1
18M_S,20180410,1
18M_S,20180411,1
18M_S,20180412,1
18M_SV,20180413,1
18M_S,20180413,1
18M_A,20180414,1
18M_I,20180415,1
18M_S,20180416,1
18M_S,20180417,1
18M_S,20180418,1
18M_S,20180419,1
18M_SV,20180420,1
18M_S,20180420,1
18M_A,20180421,1
18M_I,20180422,1
18M_S,20180423,1
18M_S,20180424,1
18M_S,20180425,1
18M_S,20180426,1
18M_SV,20180427,1
18M_S,20180427,1
18M_A,20180428,1
18M_I,20180429,1
18M_S,20180430,1
18M_S,20180501,1
18M_S,20180502,1
18M_S,20180503,1
18M_SV,20180504,1
18M_S,20180504,1
18M_A,20180505,1
18M_I,20180506,1
18M_S,20180507,1
18M_S,20180508,1
18M_S,20180509,1
18M_S,20180510,1
18M_SV,20180511,1
18M_S,20180511,1
18M_A,20180512,1
18M_I,20180513,1
18M_S,20180514,1
18M_S,20180515,1
18M_S,20180516,1
18M_S,20180517,1
18M_SV,20180518,1
18M_S,20180518,1
18M_A,20180519,1
18M_I,20180520,1
18M_F3,20180521,1
18M_S,20180522,1
18M_S,20180523,1
18M_S,20180524,1
18M_SV,20180525,1
18M_S,20180525,1
18M_A,20180526,1
18M_I,20180527,1
18M_S,20180528,1
18M_S,20180529,1
18M_S,20180530,1
18M_S,20180531,1
18M_SV,20180601,1
18M_S,20180601,1
18M_A,20180602,1
18M_I,20180603,1
18M_S,20180604,1
18M_S,20180605,1
18M_S,20180606,1
18M_S,20180607,1
18M_SV,20180608,1
18M_S,20180608,1
18M_A,20180609,1
18M_I,20180610,1
18M_S,20180611,1
18M_S,20180612,1
18M_S,20180613,1
18M_S,20180614,1
18M_SV,20180615,1
18M_S,20180615,1
18M_A,20180616,1
18M_I,20180617,1
18U_S,20180618,1
18U_S,20180619,1
18U_S,20180620,1
18U_S,20180621,1
18U_SV,20180622,1
18U_S,20180622,1
18U_A,20180623,1
18U_I,20180624,1
18U_F1,20180625,1
18U_S,20180626,1
18U_S,20180627,1
18U_S,20180628,1
18U_SV,20180629,1
18U_S,20180629,1
18U_A,20180630,1
18U_I,20180701,1
18U_F2,20180702,1
18U_S,20180703,1
18U_S,20180704,1
18U_S,20180705,1
18U_SV,20180706,1
18U_S,20180706,1
18U_A,20180707,1
18U_I,20180708,1
18U_S,20180709,1
18U_S,20180710,1
18U_S,20180711,1
18U_S,20180712,1
18U_SV,20180713,1
18U_S,20180713,1
18U_A,20180714,1
18U_I,20180715,1
18U_S,20180716,1
18U_S,20180717,1
18U_S,20180718,1
18U_S,20180719,1
18U_SV,20180720,1
18U_S,20180720,1
18U_A,20180721,1
18U_I,20180722,1
18U_S,20180723,1
18U_S,20180724,1
18U_S,20180725,1
18U_S,20180726,1
18U_SV,20180727,1
18U_S,20180727,1
18U_A,20180728,1
18U_I,20180729,1
18U_S,20180730,1
18U_S,20180731,1
18U_S,20180801,1
18U_S,20180802,1
18U_SV,20180803,1
18U_S,20180803,1
18U_A,20180804,1
18U_I,20180805,1
18U_S,20180806,1
18U_S,20180807,1
18U_S,20180808,1
18U_S,20180809,1
18U_SV,20180810,1
18U_S,20180810,1
18U_A,20180811,1
18U_I,20180812,1
18U_S,20180813,1
18U_S,20180814,1
18U_S,20180815,1
18U_S,20180816,1
18U_SV,20180817,1
18U_S,20180817,1
18U_A,20180818,1
18U_I,20180819,1
18U_S,20180820,1
18U_S,20180821,1
18U_S,20180822,1
18U_S,20180823,1
18U_SV,20180824,1
18U_S,20180824,1
18U_A,20180825,1
18U_I,20180826,1
