trip_id,start_time,end_time,headway_secs
18M_18M_S_1_3,5:30:00,5:40:00,600
18M_18M_S_1_3,5:40:00,5:59:00,570
18M_18M_S_1_3,5:59:00,6:15:00,480
18M_18M_S_1_3,6:15:00,6:29:00,420
18M_18M_S_1_3,6:29:00,6:35:00,360
18M_18M_S_1_3,6:35:00,6:45:00,300
18M_18M_S_1_3,6:45:00,6:59:00,280
18M_18M_S_1_3,6:59:00,7:07:00,240
18M_18M_S_1_3,7:07:00,7:30:20,200
18M_18M_S_1_3,7:30:20,7:33:25,185
18M_18M_S_1_3,7:33:25,7:45:05,175
18M_18M_S_1_3,7:45:05,7:47:55,170
18M_18M_S_1_3,7:47:55,8:48:25,165
18M_18M_S_1_3,8:48:25,8:54:45,190
18M_18M_S_1_3,8:54:45,9:11:25,200
18M_18M_S_1_3,9:11:25,9:29:45,220
18M_18M_S_1_3,9:29:45,9:46:45,255
18M_18M_S_1_3,9:46:45,9:57:15,315
18M_18M_S_1_3,9:57:15,10:08:15,330
18M_18M_S_1_3,10:08:15,15:08:15,360
18M_18M_S_1_3,15:08:15,15:13:45,330
18M_18M_S_1_3,15:13:45,15:18:45,300
18M_18M_S_1_3,15:18:45,15:23:15,270
18M_18M_S_1_3,15:23:15,15:27:25,250
18M_18M_S_1_3,15:27:25,16:19:55,225
18M_18M_S_1_3,16:19:55,16:45:55,195
18M_18M_S_1_3,16:45:55,17:24:55,180
18M_18M_S_1_3,17:24:55,17:41:10,195
18M_18M_S_1_3,17:41:10,18:52:25,225
18M_18M_S_1_3,18:52:25,18:56:20,235
18M_18M_S_1_3,18:56:20,19:00:20,240
18M_18M_S_1_3,19:00:20,19:09:20,270
18M_18M_S_1_3,19:09:20,19:14:05,285
18M_18M_S_1_3,19:14:05,22:29:05,300
18M_18M_S_1_3,22:29:05,22:35:00,355
18M_18M_S_1_3,22:35:00,24:05:00,450
18M_18M_S_1_3,24:05:00,24:29:00,480
18M_18M_S_1_3,24:29:00,24:38:00,540
18M_18M_S_1_2,5:30:00,5:40:00,600
18M_18M_S_1_2,5:40:00,5:48:30,510
18M_18M_S_1_2,5:48:30,5:56:00,450
18M_18M_S_1_2,5:56:00,6:14:00,360
18M_18M_S_1_2,6:14:00,6:19:30,330
18M_18M_S_1_2,6:19:30,6:29:30,300
