stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
1,10280,Station Henri-Bourassa,45.555277,-73.668172,http://www.stm.info/metro/M01.htm,0,1S,1
1S,10280,Station Henri-Bourassa,45.555277,-73.668172,http://www.stm.info/metro/M01.htm,1,,1
01-01,10280,Station Henri-Bourassa - Édicule rue Berri,45.554247,-73.668486,http://www.stm.info/metro/M01.htm,2,1S,2
01-03,10280,Station Henri-Bourassa - Édicule Nord,45.555607,-73.668225,http://www.stm.info/metro/M01.htm,2,1S,2
01-04,10280,Station Henri-Bourassa - Édicule Sud,45.556122,-73.667407,http://www.stm.info/metro/M01.htm,2,1S,1
01-05,10280,Station Henri-Bourassa - Édicule Terminus Henri-Bourassa,45.555733,-73.667284,http://www.stm.info/metro/M01.htm,2,1S,2
10,10262,Station Sherbrooke,45.51906,-73.569217,http://www.stm.info/metro/M10.htm,0,10S,2
10S,10262,Station Sherbrooke,45.51906,-73.569217,http://www.stm.info/metro/M10.htm,1,,2
10-01,10262,Station Sherbrooke - Édicule Berri Est,45.518901,-73.568524,http://www.stm.info/metro/M10.htm,2,10S,2
10-02,10262,Station Sherbrooke - Édicule Berri Ouest,45.518334,-73.568208,http://www.stm.info/metro/M10.htm,2,10S,2
11,10146,Station Berri-UQAM,45.515116,-73.560726,http://www.stm.info/metro/M11.htm,0,11S,1
11S,10146,Station Berri-UQAM,45.515116,-73.560726,http://www.stm.info/metro/M11.htm,1,,1
11-01,10146,Station Berri-UQAM - Édicule Sainte-Catherine,45.514851,-73.559654,http://www.stm.info/metro/M11.htm,2,11S,2
11-02,10146,Station Berri-UQAM - Édicule St-Denis,45.514207,-73.561853,http://www.stm.info/metro/M11.htm,2,11S,1
11-03,10146,Station Berri-UQAM - Édicule Berri,45.51498,-73.560861,http://www.stm.info/metro/M11.htm,2,11S,2
11-04,10146,Station Berri-UQAM - Édicule Place-Dupuis,45.51652,-73.55977,http://www.stm.info/metro/M11.htm,2,11S,2
11-05,10146,Station Berri-UQAM - Édicule Gare d'autocars de Montréal,45.515736,-73.561645,http://www.stm.info/metro/M11.htm,2,11S,2
12,10258,Station Champ-de-Mars,45.510047,-73.556596,http://www.stm.info/metro/M12.htm,0,12S,1
12S,10258,Station Champ-de-Mars,45.510047,-73.556596,http://www.stm.info/metro/M12.htm,1,,1
12-01,10258,Station Champ-de-Mars - Édicule Nord,45.510192,-73.556331,http://www.stm.info/metro/M12.htm,2,12S,1
12-02,10258,Station Champ-de-Mars - Édicule St-Antoine,45.50965,-73.554775,http://www.stm.info/metro/M12.htm,2,12S,2
13,10256,Station Place-d'Armes,45.506348,-73.559548,http://www.stm.info/metro/M13.htm,0,13S,1
13S,10256,Station Place-d'Armes,45.506348,-73.559548,http://www.stm.info/metro/M13.htm,1,,1
13-01,10256,Station Place-d'Armes - Édicule St-Urbain,45.506165,-73.559729,http://www.stm.info/metro/M13.htm,2,13S,2
13-02,10256,Station Place-d'Armes - Édicule Viger,45.505936,-73.560984,http://www.stm.info/metro/M13.htm,2,13S,2
14,10254,Station Square-Victoria–OACI,45.501937,-73.563118,http://www.stm.info/metro/M14.htm,0,14S,2
14S,10254,Station Square-Victoria–OACI,45.501937,-73.563118,http://www.stm.info/metro/M14.htm,1,,2
14-01,10254,Station Square-Victoria-OACI - Édicule Viger,45.501498,-73.563703,http://www.stm.info/metro/M14.htm,2,14S,2
14-02,10254,Station Square-Victoria-OACI - Édicule St-Antoine,45.50172,-73.562088,http://www.stm.info/metro/M14.htm,2,14S,2
14-03,10254,Station Square-Victoria-OACI - Édicule St-Jacques,45.501194,-73.560755,http://www.stm.info/metro/M14.htm,2,14S,2
14-04,10254,Station Square-Victoria-OACI - Édicule Côte-du-Beaver-Hall,45.501559,-73.562609,http://www.stm.info/metro/M14.htm,2,14S,2
14-05,10254,Station Square-Victoria-OACI - Édicule Belmont,45.502357,-73.565113,http://www.stm.info/metro/M14.htm,2,14S,2
15,10252,Station Bonaventure,45.498086,-73.567235,http://www.stm.info/metro/M15.htm,0,15S,2
15S,10252,Station Bonaventure,45.498086,-73.567235,http://www.stm.info/metro/M15.htm,1,,2
15-01,10252,Station Bonaventure - Édicule Peel,45.497315,-73.56901,http://www.stm.info/metro/M15.htm,2,15S,2
15-02,10252,Station Bonaventure - Édicule De la Cathédrale,45.498069,-73.566947,http://www.stm.info/metro/M15.htm,2,15S,2
16,10250,Station Lucien-L'Allier,45.494745,-73.571074,http://www.stm.info/metro/M16.htm,0,16S,2
16S,10250,Station Lucien-L'Allier,45.494745,-73.571074,http://www.stm.info/metro/M16.htm,1,,2
16-01,10250,Station Lucien-L'Allier,45.494912,-73.57109,http://www.stm.info/metro/M16.htm,2,16S,2
17,10248,Station Georges-Vanier,45.488897,-73.576852,http://www.stm.info/metro/M17.htm,0,17S,2
17S,10248,Station Georges-Vanier,45.488897,-73.576852,http://www.stm.info/metro/M17.htm,1,,2
17-01,10248,Station Georges-Vanier,45.488953,-73.576446,http://www.stm.info/metro/M17.htm,2,17S,2
18,10170,Station Honoré-Beaugrand,45.596572,-73.535376,http://www.stm.info/metro/M18.htm,0,18S,2
18S,10170,Station Honoré-Beaugrand,45.596572,-73.535376,http://www.stm.info/metro/M18.htm,1,,2
18-01,10170,Station Honoré-Beaugrand - Édicule Sherbrooke Sud,45.596593,-73.53463,http://www.stm.info/metro/M18.htm,2,18S,2
18-02,10170,Station Honoré-Beaugrand - Édicule Sherbrooke Nord,45.596868,-73.535039,http://www.stm.info/metro/M18.htm,2,18S,2
18-03,10170,Station Honoré-Beaugrand - Édicule Honoré-Beaugrand Nord,45.596957,-73.536332,http://www.stm.info/metro/M18.htm,2,18S,2
19,10168,Station Radisson,45.589431,-73.539269,http://www.stm.info/metro/M19.htm,0,19S,2
19S,10168,Station Radisson,45.589431,-73.539269,http://www.stm.info/metro/M19.htm,1,,2
19-01,10168,Station Radisson - Édicule Sherbrooke Nord,45.589306,-73.539571,http://www.stm.info/metro/M19.htm,2,19S,2
19-02,10168,Station Radisson - Édicule Sherbrooke Sud,45.589582,-73.538919,http://www.stm.info/metro/M19.htm,2,19S,2
19-03,10168,Station Radisson - Édicule Terminus Radisson,45.589696,-73.539892,http://www.stm.info/metro/M19.htm,2,19S,2
2,10278,Station Sauvé,45.550757,-73.656017,http://www.stm.info/metro/M02.htm,0,2S,2
2S,10278,Station Sauvé,45.550757,-73.656017,http://www.stm.info/metro/M02.htm,1,,2
02-01,10278,Station Sauvé - Édicule Nord,45.550713,-73.656464,http://www.stm.info/metro/M02.htm,2,2S,2
02-02,10278,Station Sauvé - Édicule Sud,45.55064,-73.655907,http://www.stm.info/metro/M02.htm,2,2S,2
20,10166,Station Langelier,45.582736,-73.543133,http://www.stm.info/metro/M20.htm,0,20S,2
